repository_path,route,category,naming_role,size_bytes,sha256,legacy_workspace_path,legacy_sha256,transformation
boltzgen/main/round1_old12_mac_20260819/scripts/prepare_round1.py,boltzgen,code_main_or_policy,internal_implementation_in_dated_attempt,18705,978d4e275aa08faf9cf344433acc310ffa4fb2d2e8797f1ef7759c3a3b1f6bf2,data/boltzgen_data/boltzgen_round1_old12_glp1_20260819/scripts/prepare_round1.py,978d4e275aa08faf9cf344433acc310ffa4fb2d2e8797f1ef7759c3a3b1f6bf2,copied_preserving_bytes
boltzgen/main/round1_old12_mac_20260819/scripts/run_round1.py,boltzgen,code_main_or_policy,internal_implementation_in_dated_attempt,20714,e8c5c02c7ce2df8fd74357187369bc3ed51a7df5079f9efa4e67079dfd5de776,data/boltzgen_data/boltzgen_round1_old12_glp1_20260819/scripts/run_round1.py,e8c5c02c7ce2df8fd74357187369bc3ed51a7df5079f9efa4e67079dfd5de776,copied_preserving_bytes
boltzgen/main/round1_old12_mac_20260819/运行旧12骨架第一轮_Mac_20260819.py,boltzgen,code_main_or_policy,dated_public_entry,1402,8cf919a9461667700477d11d9027289d42a0d9d4f78c1310967fe15aa912fbde,,,repository_authored_or_generated_20260826
boltzgen/main/sabdab2_scaffold_curation_20260819/README.md,boltzgen,documentation_or_configuration,stable_repository_file,820,75ac4f80b8799e67b114f19bd4f59496f396413ccaa6e69ff7364b6af1d59734,,,repository_authored_or_generated_20260826
boltzgen/main/sabdab2_scaffold_curation_20260819/scripts/build_scaffold_database.py,boltzgen,code_main_or_policy,internal_implementation_in_dated_attempt,72268,7c7005b21778d786c39c7efc69418ffaa54659dd5c9c25e0c7a8d6dfc56bf186,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/scripts/build_scaffold_database.py,7c7005b21778d786c39c7efc69418ffaa54659dd5c9c25e0c7a8d6dfc56bf186,copied_preserving_bytes
boltzgen/main/sabdab2_scaffold_curation_20260819/scripts/download_sabdab_range.py,boltzgen,code_main_or_policy,internal_implementation_in_dated_attempt,12294,cad65865e520f4fc8aad4606be830a514a8e4fbc32c93868dc465651c6463a30,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/scripts/download_sabdab_range.py,cad65865e520f4fc8aad4606be830a514a8e4fbc32c93868dc465651c6463a30,copied_preserving_bytes
boltzgen/main/sabdab2_scaffold_curation_20260819/scripts/validate_boltzgen_exports.py,boltzgen,code_main_or_policy,internal_implementation_in_dated_attempt,35169,4537a7fa6df80dc83762fff1f9fe821c1f214e87ad9400264dd555bca37a1b85,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/scripts/validate_boltzgen_exports.py,4537a7fa6df80dc83762fff1f9fe821c1f214e87ad9400264dd555bca37a1b85,copied_preserving_bytes
boltzgen/main/sabdab2_scaffold_curation_20260819/筛选SAbDab2_VHH骨架_20260819.py,boltzgen,code_main_or_policy,dated_public_entry,1546,b936a87f17e9b0e952f7077e33b1e213d436869f2b5d8b4065567803d483e86c,,,repository_authored_or_generated_20260826
boltzgen/notebooks/boltzgen_nanobody_mps_smoke_review_20260819.ipynb,boltzgen,notebook,dated_artifact,494818,26da2b25e09e69394fe6418fb791d7eeff7c7890ecc278d60f382898c6bc9edb,data/boltzgen_data/mvp_run_001/notebooks/BoltzGen_MVP_运行复盘.ipynb,6a9603367b310c835cf962ed71d9bb4fbc5d38e2663e508cedc5e7193b930937,copied_renamed_and_sanitized
boltzgen/notebooks/boltzgen_old12_glp1_mac_enhanced_review_20260820.ipynb,boltzgen,notebook,dated_artifact,695310,f2c40077f094719024c92aa4e9ae5ba80e18870899ae64fba2b6dac64848fc05,data/boltzgen_data/boltzgen_mac_enhanced_old12_glp1_20260820/notebooks/BoltzGen_Mac_旧12骨架_增强筛选复盘.ipynb,a1c70e6d03bc40c0e35052144039f2a89626b7ccf1bc1ef4a7addb5bafe9ceff,copied_renamed_and_sanitized
boltzgen/notebooks/boltzgen_old12_glp1_round1_review_20260819.ipynb,boltzgen,notebook,dated_artifact,2358846,309faf9c1757737fe30c24f408bf23ec00c3dd03f8422880a2cf9c22528caef1,data/boltzgen_data/boltzgen_round1_old12_glp1_20260819/notebooks/BoltzGen_旧12骨架_GLP1_第一轮复盘.ipynb,e03ada38ada4884cd63aef9aa1374cbc1fa9eecc3d2bd1c8745e6d153c2cd2ba,copied_renamed_and_sanitized
boltzgen/notebooks/sabdab2_vhh_scaffold_screening_review_20260819.ipynb,boltzgen,notebook,dated_artifact,38314,f59feaf60a1db55198cc1ff3da3af76cb0a2eaf57de75eaa6b8fdeac2dd4c415,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/notebooks/SAbDab2_VHH骨架筛选复盘.ipynb,f59feaf60a1db55198cc1ff3da3af76cb0a2eaf57de75eaa6b8fdeac2dd4c415,copied_preserving_bytes
boltzgen/plans/boltzgen_glp1_vhh_execution_plan_20260826.md,boltzgen,documentation_or_configuration,dated_artifact,863611,f4f891aab65cfb7e36bbd9c07f59cd48c15f8f30c6a09934dea75d090a64abba,data/boltzgen_data/BoltzGen_GLP1_VHH_无上下文执行实施方案.md,9f2e9076640ff1a35612daf99665e35ce071ec12891dbf85096f0c1ae4ca0051,copied_renamed_and_sanitized
boltzgen/reports/html/boltzgen_mvp_data_assets_20260818.html,boltzgen,report_html,dated_artifact,587036,a5c76293c87fa588a2abb28b16123e4f00d65a13b520af1422247e91ed651630,data/boltzgen_data/mvp_assets_v0.3.2/BoltzGen_MVP_数据资产说明与样例.html,a5c76293c87fa588a2abb28b16123e4f00d65a13b520af1422247e91ed651630,copied_preserving_bytes
boltzgen/reports/html/boltzgen_nanobody_mps_smoke_20260819.html,boltzgen,report_html,dated_artifact,1908795,154f3383d0b5f1c8a6a404f29ad40745d3013059bb1baa9e63ee400b08cf2ec8,data/boltzgen_data/mvp_run_001/BoltzGen_MVP_运行结果与评价.html,154f3383d0b5f1c8a6a404f29ad40745d3013059bb1baa9e63ee400b08cf2ec8,copied_preserving_bytes
boltzgen/reports/html/boltzgen_old12_glp1_mac_enhanced_20260820.html,boltzgen,report_html,dated_artifact,883106,95df32b91147d4921cd9dc6f79d635096056e3b87af6d2d676c73823cd9fd279,data/boltzgen_data/boltzgen_mac_enhanced_old12_glp1_20260820/BoltzGen_Mac_旧12骨架_增强筛选与复盘.html,95df32b91147d4921cd9dc6f79d635096056e3b87af6d2d676c73823cd9fd279,copied_preserving_bytes
boltzgen/reports/html/boltzgen_old12_glp1_round1_20260819.html,boltzgen,report_html,dated_artifact,848669,1175f712708403ea8c7e0189e33157f31885fa884f8de9707df65431638f0963,data/boltzgen_data/boltzgen_round1_old12_glp1_20260819/BoltzGen_旧12骨架_GLP1_第一轮候选生成与复盘.html,1175f712708403ea8c7e0189e33157f31885fa884f8de9707df65431638f0963,copied_preserving_bytes
boltzgen/reports/html/boltzgen_vhh_glp1_algorithm_20260819.html,boltzgen,report_html,dated_artifact,625912,96ad595e06eaa0671d25fd2028cd1a09166f07dff9163c138ff07ec1db3ee385,data/boltzgen_data/BoltzGen_VHH_GLP-1_数据流与算法原理.html,96ad595e06eaa0671d25fd2028cd1a09166f07dff9163c138ff07ec1db3ee385,copied_preserving_bytes
boltzgen/reports/html/sabdab2_vhh_scaffold_screening_20260819.html,boltzgen,report_html,dated_artifact,542129,c94d98989dce5ffa36d9901ce240769259e90c14efbf364847462b95a22380fd,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/reports/SAbDab2_VHH骨架筛选与数据库统计.html,c94d98989dce5ffa36d9901ce240769259e90c14efbf364847462b95a22380fd,copied_preserving_bytes
