arm	candidate_id	sample_index	framework_aligned_cdr_rmsd_angstrom	target_aligned_cdr_rmsd_angstrom	framework_gate_pass	design_to_target_iptm	design_ptm	iptm	ptm	design_npz_sha256	fold_npz_sha256
internal	design_4	1	1.150325420	54.563123136	true	0.153462276	0.730678082	0.174602553	0.617310405	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	ecc436d477e47df765a86c7c2287dce81e6a12ac99371b993c6fd0b11612f051
internal	design_4	2	1.122020126	39.210759211	true	0.143724933	0.731301665	0.160369903	0.616147995	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	ecc436d477e47df765a86c7c2287dce81e6a12ac99371b993c6fd0b11612f051
internal	design_4	3	1.154889069	53.491797353	true	0.134142756	0.708532333	0.156920642	0.596430004	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	ecc436d477e47df765a86c7c2287dce81e6a12ac99371b993c6fd0b11612f051
internal	design_4	4	1.024316070	73.265430008	true	0.130158737	0.703744888	0.148211151	0.588581145	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	ecc436d477e47df765a86c7c2287dce81e6a12ac99371b993c6fd0b11612f051
internal	design_5	0	1.189535518	31.514949357	true	0.175932229	0.743629336	0.203562036	0.634546995	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	54226eba3451f8d43a465d479ee0397ba56651e6ec9f5300b6f0ef72c7c5ed81
internal	design_5	1	2.174678189	54.806477100	true	0.104226701	0.710359752	0.105275944	0.589764476	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	54226eba3451f8d43a465d479ee0397ba56651e6ec9f5300b6f0ef72c7c5ed81
internal	design_5	2	1.321978957	23.264423040	true	0.171483099	0.743443191	0.205245003	0.633017063	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	54226eba3451f8d43a465d479ee0397ba56651e6ec9f5300b6f0ef72c7c5ed81
internal	design_5	3	1.614922385	54.763444255	true	0.141708121	0.709108174	0.176821053	0.598339558	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	54226eba3451f8d43a465d479ee0397ba56651e6ec9f5300b6f0ef72c7c5ed81
internal	design_5	4	1.726327377	64.013103937	true	0.122013845	0.705509603	0.145951316	0.591108739	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	54226eba3451f8d43a465d479ee0397ba56651e6ec9f5300b6f0ef72c7c5ed81
internal	design_6	0	1.413269310	46.546857739	true	0.150949001	0.738264799	0.174685836	0.623254955	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	96c8b99260f296eaaa62b950b80a42256fd90ebd4c7552efd6868ba94abe715d
internal	design_6	1	1.239880297	69.789037917	true	0.113662541	0.707543671	0.129232869	0.590310633	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	96c8b99260f296eaaa62b950b80a42256fd90ebd4c7552efd6868ba94abe715d
internal	design_6	2	0.975643537	73.707212514	true	0.138909295	0.715175092	0.154029772	0.597976506	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	96c8b99260f296eaaa62b950b80a42256fd90ebd4c7552efd6868ba94abe715d
internal	design_6	3	0.779854235	63.480832013	true	0.171581209	0.733853638	0.194015384	0.624476194	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	96c8b99260f296eaaa62b950b80a42256fd90ebd4c7552efd6868ba94abe715d
internal	design_6	4	1.125122529	27.462890523	true	0.232063308	0.736479163	0.237817541	0.634074092	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	96c8b99260f296eaaa62b950b80a42256fd90ebd4c7552efd6868ba94abe715d
internal	design_7	0	2.406393853	61.030115221	true	0.092119440	0.723018765	0.096863970	0.597825646	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	6205e5ccaddcc5fdb33dfc8c6f13b47c16ba054a75aa89545eb05ecce845ec70
internal	design_7	1	1.309674002	37.050055667	true	0.179818317	0.737988770	0.179818317	0.626507640	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	6205e5ccaddcc5fdb33dfc8c6f13b47c16ba054a75aa89545eb05ecce845ec70
